names,scores,logfoldchanges,pvals,pvals_adj
SKP2,1.3914115,-0.033032198,0.1641006782835166,0.2710310833825356
CEP85L,1.3908856,0.13703817,0.1642601375323427,0.27123297650093714
SLC9A8,1.3908621,0.24760103,0.16426723482873595,0.27123297650093714
STK35,1.3906949,0.11811195,0.16431799286285942,0.2712923897990254
PHF20,1.3903823,0.06652496,0.16441283668321982,0.2714245724096924
ZHX1-C8orf76,1.3891089,0.4847593,0.1647996260059551,0.27196530047594303
KNSTRN,1.3889999,0.29758686,0.16483277411766695,0.27199555725482905
AGPAT5,1.3867209,0.05758295,0.16552687199395277,0.27304275417132035
FBXO5,1.3851068,0.17675203,0.16601979932587496,0.27363460820667773
RSKR,1.382978,0.034409884,0.16667163355666048,0.27465965389820884
MOSPD1,1.3825214,0.1650218,0.16681165589918046,0.2748657286157096
CCR8,1.3821688,3.4133704,0.16691989479526215,0.2749947230449357
DZIP3,1.3818426,0.21091558,0.16702002996435794,0.2751350053988495
FANCB,1.3816175,0.06539661,0.16708917008714397,0.27522420848390156
UBE2N,1.3810078,0.072302245,0.16727656114097977,0.2755066750461284
SIGLEC12,1.3809619,0.6676511,0.16729066609058796,0.2755066750461284
SLC22A15,1.3802584,0.34964138,0.16750709200260028,0.27583836020266755
DYNLL2,1.3798304,0.09013434,0.1676388901751692,0.27600588795788034
RNF114,1.3796604,0.124823816,0.16769123078055925,0.2760673082006499
LY75,1.3792022,0.05795859,0.16783241136142202,0.27625019318754546
CYTH2,1.3788159,0.12524253,0.16795151418651888,0.2764214549998811
DDX20,1.3781068,0.029524814,0.16817030173508063,0.27673193315628386
GANC,1.3772321,0.08750699,0.16844049936699812,0.2771268825159008
MFSD11,1.376287,0.106931016,0.16873280510014843,0.27753527291269364
AC119674.2,1.3753093,0.3245002,0.16903556293635125,0.2779564724229219
CACNA1A,1.3745112,0.3653138,0.1692830059371091,0.2783135093133292
RBMXL1,1.3738773,0.054093175,0.16947979492141196,0.27856221596562936
HNRNPUL2,1.372978,0.11950422,0.16975919046504662,0.2789621819644521
GIPR,1.3729473,0.64606345,0.16976871745933164,0.2789621819644521
KLHL36,1.3725742,0.0041956548,0.16988474798628916,0.2791278619934009
FOXM1,1.3701569,0.13097127,0.17063793243682546,0.28023998904047875
ICAM5,1.3700496,1.2096107,0.17067143692801268,0.28026994485602724
USP9X,1.3675927,0.08443926,0.1714396201941818,0.2813804296402406
F2RL1,1.3660263,0.20614597,0.17193071613623045,0.2821108024108425
