Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Signaling By FGFR In Disease R-HSA-1226099,1/61,0.2637791413086752,0.385866108738704,0,0,3.34006734006734,4.451117734093463,STAT1
Reactome_2022,Ub-specific Processing Proteases R-HSA-5689880,2/201,0.2660805999708533,0.3860505342656924,0,0,2.020408163265306,2.6749315277587797,IFIH1;PSMB9
Reactome_2022,Asymmetric Localization Of PCP Proteins R-HSA-4608870,1/62,0.2674715018007107,0.3860505342656924,0,0,3.285146547441629,4.332261561529935,PSMB9
Reactome_2022,TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,1/62,0.2674715018007107,0.3860505342656924,0,0,3.285146547441629,4.332261561529935,FOS
Reactome_2022,MAP Kinase Activation R-HSA-450294,1/62,0.2674715018007107,0.3860505342656924,0,0,3.285146547441629,4.332261561529935,FOS
Reactome_2022,Signaling By NOTCH R-HSA-157118,2/203,0.2697872573969225,0.3869090609263996,0,0,2.000101533150574,2.620376153040449,STAT1;PSMB9
Reactome_2022,Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,1/63,0.2711455282609312,0.3869090609263996,0,0,3.231997393287716,4.218078497375417,PSMB9
Reactome_2022,Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,1/63,0.2711455282609312,0.3869090609263996,0,0,3.231997393287716,4.218078497375417,IRF7
Reactome_2022,Transcriptional Regulation By RUNX1 R-HSA-8878171,2/204,0.2716405416203822,0.3869090609263996,0,0,1.99009900990099,2.5936475306384104,SERPINB13;PSMB9
Reactome_2022,Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176,1/64,0.2748013108427819,0.3888528352775313,0,0,3.180535513868848,4.108319823136149,PSMB9
Reactome_2022,Hedgehog Ligand Biogenesis R-HSA-5358346,1/64,0.2748013108427819,0.3888528352775313,0,0,3.180535513868848,4.108319823136149,PSMB9
Reactome_2022,Regulation Of RAS By GAPs R-HSA-5658442,1/65,0.2784389392137884,0.3927168100311738,0,0,3.1306818181818183,4.00275356439037,PSMB9
Reactome_2022,Activation Of NF-kappaB In B Cells R-HSA-1169091,1/66,0.2820585025763683,0.3952470278820954,0,0,3.0823620823620823,3.9011631304837175,PSMB9
Reactome_2022,Integrin Cell Surface Interactions R-HSA-216083,1/66,0.2820585025763683,0.3952470278820954,0,0,3.0823620823620823,3.9011631304837175,ICAM1
Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,1/67,0.2856600898087258,0.3975548389819181,0,0,3.0355065809611266,3.8033460819667058,PSMB9
Reactome_2022,Regulation Of PTEN Stability And Activity R-HSA-8948751,1/67,0.2856600898087258,0.3975548389819181,0,0,3.0355065809611266,3.8033460819667058,PSMB9
Reactome_2022,G Alpha (Q) Signaling Events R-HSA-416476,2/212,0.2864598377883567,0.3975548389819181,0,0,1.913508260447036,2.392185621773637,RGS1;GNB4
Reactome_2022,Costimulation By CD28 Family R-HSA-388841,1/68,0.2892437892552286,0.4001359768291181,0,0,2.990049751243781,3.709113016933223,HLA-DQA1
Reactome_2022,Orc1 Removal From Chromatin R-HSA-68949,1/69,0.2928096888806698,0.4012234028016773,0,0,2.9459298871063577,3.6182865561027495,PSMB9
Reactome_2022,Circadian Clock R-HSA-400253,1/69,0.2928096888806698,0.4012234028016773,0,0,2.9459298871063577,3.6182865561027495,NAMPT
Reactome_2022,Interleukin-17 Signaling R-HSA-448424,1/69,0.2928096888806698,0.4012234028016773,0,0,2.9459298871063577,3.6182865561027495,FOS
Reactome_2022,Diseases Of Programmed Cell Death R-HSA-9645723,1/71,0.2998884383134025,0.4096267942892848,0,0,2.8614718614718613,3.446198601550195,CDKN2A
Reactome_2022,CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,1/72,0.3034014618596549,0.4118270626496257,0,0,2.821027173139849,3.3646345783285243,PSMB9
Reactome_2022,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,1/72,0.3034014618596549,0.4118270626496257,0,0,2.821027173139849,3.3646345783285243,PSMB9
Reactome_2022,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,1/73,0.3068970331118836,0.4126907308616324,0,0,2.781705948372615,3.2858706369655613,PSMB9
Reactome_2022,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,1/73,0.3068970331118836,0.4126907308616324,0,0,2.781705948372615,3.2858706369655613,PSMB9
Reactome_2022,Cellular Response To Hypoxia R-HSA-1234174,1/73,0.3068970331118836,0.4126907308616324,0,0,2.781705948372615,3.2858706369655613,PSMB9
Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,1/74,0.3103752378928968,0.4160757833053384,0,0,2.74346201743462,3.209777224050686,SPRR3
Reactome_2022,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,1/75,0.3138361616484454,0.4194168456598052,0,0,2.7062517062517064,3.1362323637249645,PSMB9
Reactome_2022,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,1/76,0.3172798893506643,0.4201290277946106,0,0,2.67003367003367,3.065121123308704,PSMB9
Reactome_2022,Protein Ubiquitination R-HSA-8852135,1/76,0.3172798893506643,0.4201290277946106,0,0,2.67003367003367,3.065121123308704,HLA-A
Reactome_2022,SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,1/76,0.3172798893506643,0.4201290277946106,0,0,2.67003367003367,3.065121123308704,CDKN2A
Reactome_2022,ABC Transporter Disorders R-HSA-5619084,1/77,0.3207065055587057,0.4220848538204242,0,0,2.6347687400318978,2.996335121708695,PSMB9
Reactome_2022,Regulation Of Insulin Secretion R-HSA-422356,1/77,0.3207065055587057,0.4220848538204242,0,0,2.6347687400318978,2.996335121708695,GNB4
Reactome_2022,FCERI Mediated NF-kB Activation R-HSA-2871837,1/78,0.3241160944299128,0.4239947700548407,0,0,2.600419782237964,2.929772078325152,PSMB9
Reactome_2022,G Alpha (12/13) Signaling Events R-HSA-416482,1/78,0.3241160944299128,0.4239947700548407,0,0,2.600419782237964,2.929772078325152,GNB4
Reactome_2022,Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,1/79,0.3275087398015298,0.4271424226929591,0,0,2.566951566951567,2.865335397718705,PSMB9
Reactome_2022,Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,1/80,0.3308845249727721,0.4302492471868177,0,0,2.534330648254699,2.8029337896230078,PSMB9
Reactome_2022,Signaling By NOTCH4 R-HSA-9013694,1/81,0.3342435328543524,0.4333157177423191,0,0,2.5025252525252526,2.742480915944007,PSMB9
Reactome_2022,Cyclin E Associated Events During G1/S Transition R-HSA-69202,1/82,0.3375858460637784,0.4363423025242269,0,0,2.471505175208879,2.6838950656014107,PSMB9
Reactome_2022,Platelet Homeostasis R-HSA-418346,1/83,0.3409115467213686,0.4393294634831923,0,0,2.4412416851441243,2.627098856469418,GNB4
Reactome_2022,Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,1/84,0.3442207165268205,0.440969142769566,0,0,2.4117074358038213,2.572018957842433,PSMB9
Reactome_2022,Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,1/84,0.3442207165268205,0.440969142769566,0,0,2.4117074358038213,2.572018957842433,PSMB9
Reactome_2022,Hedgehog On State R-HSA-5632684,1/85,0.3475134368660721,0.4438740948761334,0,0,2.382876382876383,2.5185858334956643,PSMB9
Reactome_2022,APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,1/87,0.3540498524990138,0.4508929003884498,0,0,2.327225745830397,2.4163993335324085,PSMB9
Reactome_2022,Opioid Signaling R-HSA-111885,1/88,0.3572937084833981,0.4512791950963833,0,0,2.3003599210495764,2.367523811703655,GNB4
Reactome_2022,PCP/CE Pathway R-HSA-4086400,1/88,0.3572937084833981,0.4512791950963833,0,0,2.3003599210495764,2.367523811703655,PSMB9
Reactome_2022,Antimicrobial Peptides R-HSA-6803157,1/89,0.3605214364245345,0.4512791950963833,0,0,2.2741046831955924,2.32005037808893,LYZ
Reactome_2022,Unfolded Protein Response (UPR) R-HSA-381119,1/89,0.3605214364245345,0.4512791950963833,0,0,2.2741046831955924,2.32005037808893,CXCL8
Reactome_2022,"Platelet Activation, Signaling And Aggregation R-HSA-76002",2/254,0.3633561054844688,0.4512791950963833,0,0,1.591188856494979,1.610874915736704,PLEK;GNB4
Reactome_2022,Chaperonin-mediated Protein Folding R-HSA-390466,1/90,0.3637331156781473,0.4512791950963833,0,0,2.2484394506866416,2.273925239694265,GNB4
Reactome_2022,Collagen Formation R-HSA-1474290,1/90,0.3637331156781473,0.4512791950963833,0,0,2.2484394506866416,2.273925239694265,CTSS
Reactome_2022,Switching Of Origins To A Post-Replicative State R-HSA-69052,1/90,0.3637331156781473,0.4512791950963833,0,0,2.2484394506866416,2.273925239694265,PSMB9
Reactome_2022,MAPK6/MAPK4 Signaling R-HSA-5687128,1/90,0.3637331156781473,0.4512791950963833,0,0,2.2484394506866416,2.273925239694265,PSMB9
Reactome_2022,Class B/2 (Secretin Family Receptors) R-HSA-373080,1/92,0.3701086437867988,0.4578772650276682,0,0,2.1988011988011986,2.185517547233266,GNB4
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,4/619,0.3743954705241321,0.4618610790226473,0,0,1.3065718157181572,1.2836318540680745,CXCL8;RGS1;CCL4;GNB4
Reactome_2022,RHO GTPase Cycle R-HSA-9012999,3/441,0.3793554679549411,0.4655713311131826,0,0,1.3742409264228217,1.3320264484716084,NCF2;EPSTI1;CYBB
Reactome_2022,UCH Proteinases R-HSA-5689603,1/95,0.3795535332169826,0.4655713311131826,0,0,2.1283043197936813,2.061815304518316,PSMB9
Reactome_2022,Protein Folding R-HSA-391251,1/96,0.3826705658807354,0.4680687995094871,0,0,2.105794790005316,2.022786046627892,GNB4
Reactome_2022,Generic Transcription Pathway R-HSA-212436,7/1190,0.3853186291486474,0.4690128106967217,0,0,1.1908761213972132,1.135720311319171,SERPINB13;STAT1;CDKN2A;PMAIP1;APOE;FOS;PSMB9
Reactome_2022,Post-translational Protein Modification R-HSA-597592,8/1383,0.3880354741740279,0.4690128106967217,0,0,1.1715415019762845,1.1090497388200102,IFIH1;CDKN2A;CEACAM5;PLAUR;TNFAIP3;HLA-A;APOE;PSMB9
Reactome_2022,RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,1/98,0.3888581963975129,0.4690128106967217,0,0,2.062168072477351,1.947801335478516,PSMB9
Reactome_2022,Hedgehog Off State R-HSA-5610787,1/98,0.3888581963975129,0.4690128106967217,0,0,2.062168072477351,1.947801335478516,PSMB9
Reactome_2022,Visual Phototransduction R-HSA-2187338,1/98,0.3888581963975129,0.4690128106967217,0,0,2.062168072477351,1.947801335478516,APOE
Reactome_2022,RHO GTPase Effectors R-HSA-195258,2/269,0.390143698583407,0.4692561707961534,0,0,1.50064969808148,1.412471746643874,NCF2;CYBB
Reactome_2022,RAF/MAP Kinase Cascade R-HSA-5673001,2/271,0.3936793351612003,0.4708926854276236,0,0,1.489340717699719,1.3883910758922942,DUSP5;PSMB9
Reactome_2022,Cell Cycle Checkpoints R-HSA-69620,2/271,0.3936793351612003,0.4708926854276236,0,0,1.489340717699719,1.3883910758922942,CDKN2A;PSMB9
Reactome_2022,TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,1/100,0.394984420817951,0.4711522154660407,0,0,2.020304050607081,1.8766785261005492,PSMB9
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,1/102,0.4010498423953424,0.4757659774169405,0,0,1.98009800980098,1.8091552855878603,PSMB9
Reactome_2022,Potassium Channels R-HSA-1296071,1/102,0.4010498423953424,0.4757659774169405,0,0,1.98009800980098,1.8091552855878603,GNB4
Reactome_2022,MAPK1/MAPK3 Signaling R-HSA-5684996,2/277,0.4042312081401017,0.4782298172805029,0,0,1.4564007421150278,1.3191615767443174,DUSP5;PSMB9
Reactome_2022,Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,1/104,0.4070550586365517,0.4802584206801822,0,0,1.9414533686378344,1.7449915352070269,SLC15A3
Reactome_2022,Integration Of Energy Metabolism R-HSA-163685,1/105,0.4100352748474052,0.4824599837199089,0,0,1.9226884226884229,1.7140999679223647,GNB4
Reactome_2022,Post-translational Protein Phosphorylation R-HSA-8957275,1/106,0.4130006611337857,0.4846322121163394,0,0,1.9042809042809044,1.6839671916127796,APOE
Reactome_2022,Degradation Of Extracellular Matrix R-HSA-1474228,1/109,0.4218085691393649,0.4922994890494475,0,0,1.851103628881407,1.5978794932003777,CTSS
Reactome_2022,Signaling By B Cell Receptor (BCR) R-HSA-983705,1/109,0.4218085691393649,0.4922994890494475,0,0,1.851103628881407,1.5978794932003777,PSMB9
Reactome_2022,Assembly Of Pre-Replicative Complex R-HSA-68867,1/110,0.4247153626139249,0.4943595484188965,0,0,1.834028356964137,1.570544634474372,PSMB9
Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,2/291,0.428510552832088,0.4974398642796089,0,0,1.3848598262834546,1.1735854919050652,CTSS;ICAM1
Reactome_2022,Signaling By WNT R-HSA-195721,2/294,0.4336474073221412,0.5020570250547784,0,0,1.3704221414593234,1.145019904936257,GNB4;PSMB9
Reactome_2022,PPARA Activates Gene Expression R-HSA-1989781,1/116,0.441854774426629,0.5101949795379477,0,0,1.737812911725955,1.419400430166389,G0S2
Reactome_2022,Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,1/118,0.4474548000683968,0.5152870436957868,0,0,1.7079340412673747,1.3734859734012153,G0S2
Reactome_2022,Synthesis Of DNA R-HSA-69239,1/119,0.450233917137087,0.5171121647754873,0,0,1.6933744221879816,1.3512924945163796,PSMB9
Reactome_2022,DNA Repair R-HSA-73894,2/310,0.4606241899730713,0.5269263556475792,0,0,1.2981712165385637,1.006306983802624,UBE2L6;ISG15
